    58/299     8.06G   0.02455   0.01073   0.04355   0.07884        19       416    0.4226    0.4768    0.4208    0.3565   0.02453  0.004268    0.0455
    59/299     8.06G   0.02447   0.01096   0.04322   0.07865        33       416    0.4051    0.4738    0.4316    0.3651   0.02379  0.004155   0.04504
    60/299     8.06G   0.02478   0.01049   0.04256   0.07782        23       416    0.4557    0.4251    0.4399    0.3741   0.02508  0.004231   0.04687
    61/299     8.06G   0.02443   0.01053    0.0425   0.07745        22       416    0.2964    0.5465     0.454    0.3881   0.02428  0.004184   0.04562
    62/299     8.06G   0.02467   0.01066   0.04213   0.07746        43       416    0.3232    0.5672    0.4542    0.3844   0.02463  0.004327   0.04388
    63/299     8.06G   0.02474   0.01068   0.04195   0.07736        28       416    0.3851    0.5064    0.4449    0.3778   0.02471  0.004308   0.04511
    64/299     8.06G   0.02486   0.01053   0.04123   0.07663        21       416    0.3699    0.5501    0.4759    0.4032   0.02387  0.004297   0.04398
    65/299     8.06G   0.02419   0.01054   0.04082   0.07555        17       416    0.3584    0.5733    0.4883    0.4156   0.02361  0.004232   0.04473
    66/299     8.06G   0.02422   0.01025   0.04098   0.07546        19       416    0.5467    0.4606    0.4992    0.4228   0.02447  0.004177   0.04293
    67/299     8.06G   0.02467   0.01046   0.04025   0.07537        41       416    0.4374    0.5032     0.489    0.4139   0.02399  0.004304    0.0437
    68/299     8.06G   0.02471   0.01069   0.03901    0.0744        27       416    0.4844     0.514    0.4988    0.4218   0.02364  0.004328   0.04447
    69/299     8.06G   0.02432   0.01037   0.03957   0.07426        45       416    0.5423    0.4753    0.5107    0.4357   0.02328  0.004239   0.04292
    70/299     8.06G   0.02446   0.01039   0.03915     0.074        21       416    0.3678     0.566    0.4966     0.425   0.02392  0.004301   0.04391
    71/299     8.06G   0.02425   0.01035   0.03972   0.07431        18       416    0.4742    0.4962    0.5208    0.4456   0.02327  0.004209   0.04197
    72/299     8.06G   0.02445   0.01036   0.03815   0.07296        24       416    0.4479    0.5604    0.5226    0.4458   0.02233  0.004184   0.04146
